student_id,subject,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,term_1,term_2,term_3,model_1,model_2,model_3,model_4,final_result
1000,Math,35,61,41,88,37,35,70,39,32,58,37,34,39,40,48,39,40,36,48,0
1000,Physics,56,66,72,33,52,20,52,21,49,62,64,65,33,50,34,68,42,48,33,1
1000,Chemistry,47,78,83,39,16,65,58,82,57,56,49,57,64,35,69,54,51,47,71,1
1000,Biology,36,20,22,27,32,20,7,50,49,0,62,45,43,52,47,36,46,54,38,0
1001,Math,76,56,67,61,65,89,92,80,78,80,69,68,61,69,97,78,66,65,61,1
1001,Physics,45,21,44,47,45,40,32,28,32,36,19,51,45,45,28,42,53,48,33,0
1001,Chemistry,40,33,30,66,34,27,49,41,38,51,47,45,51,43,32,36,34,42,29,0
1001,Biology,12,80,64,57,26,34,33,21,17,20,30,14,35,49,40,55,27,54,45,0
1002,Math,16,51,58,54,26,46,67,17,47,56,29,48,27,30,30,41,39,49,30,0
1002,Physics,68,76,87,81,59,73,65,45,79,100,73,80,64,81,67,56,80,72,86,1
1002,Chemistry,26,64,69,57,29,70,33,34,49,66,59,67,49,52,41,51,60,52,59,0
1002,Biology,76,76,85,82,93,87,100,81,81,69,85,95,76,84,93,83,79,94,85,1
1003,Math,47,94,71,71,75,79,65,61,88,17,62,79,56,87,62,75,60,69,76,1
1003,Physics,50,47,40,54,64,73,67,28,60,76,55,47,58,48,62,54,68,59,47,1
1003,Chemistry,61,63,35,83,61,38,43,66,81,68,77,53,53,80,75,69,82,60,65,1
1003,Biology,100,85,100,76,100,69,99,86,96,79,61,52,82,86,84,81,90,93,65,1
1004,Math,57,60,100,60,58,74,79,73,56,52,78,69,50,84,79,67,67,72,63,1
1004,Physics,19,17,45,50,41,33,19,21,63,28,21,46,36,30,60,41,58,17,44,0
1004,Chemistry,53,56,20,56,51,43,64,70,47,58,45,43,55,61,48,32,60,39,56,1
1004,Biology,66,39,22,18,57,39,48,53,39,35,25,0,21,39,37,44,38,41,47,0
1005,Math,80,99,88,71,100,95,93,88,100,70,74,73,66,86,83,81,76,94,89,1
1005,Physics,81,57,47,68,82,64,60,77,28,60,49,74,61,56,65,55,69,63,66,1
1005,Chemistry,53,65,85,83,76,75,63,42,49,79,75,80,68,83,53,70,81,60,83,1
1005,Biology,35,68,0,35,44,40,34,19,25,50,56,41,29,41,37,45,41,33,41,0
1006,Math,80,62,56,76,90,85,78,75,53,66,59,48,71,67,60,57,74,81,66,1
1006,Physics,59,65,89,100,56,92,80,72,92,65,89,100,87,74,63,72,66,100,82,1
1006,Chemistry,38,30,60,39,66,52,46,64,66,44,51,55,39,74,63,63,57,59,52,0
1006,Biology,47,47,84,33,57,35,24,38,36,31,42,40,43,50,33,35,31,36,41,0
1007,Math,38,64,63,25,38,59,71,45,52,33,92,62,65,62,66,61,51,62,55,0
1007,Physics,59,49,59,42,29,38,32,68,53,58,44,31,54,59,46,39,50,36,47,0
1007,Chemistry,63,60,83,50,55,37,26,28,61,37,71,76,51,74,57,66,52,64,45,0
1007,Biology,94,78,83,94,87,83,95,97,64,93,95,73,89,69,100,82,84,96,83,1
1008,Math,22,51,54,35,53,37,16,51,57,43,38,16,39,42,67,39,40,32,32,0
1008,Physics,51,50,30,69,6,22,24,64,45,36,20,45,41,31,22,28,42,43,40,0
1008,Chemistry,39,54,62,55,33,58,69,32,52,72,75,54,30,49,46,63,50,48,48,1
1008,Biology,44,23,42,23,19,62,49,42,33,47,48,59,37,23,42,46,23,53,42,0
1009,Math,62,50,66,92,42,62,41,71,83,51,63,89,68,55,54,49,77,62,80,1
1009,Physics,53,44,21,37,44,14,44,36,65,62,22,18,41,46,38,40,54,30,44,0
1009,Chemistry,39,77,50,46,47,78,46,64,58,58,41,64,74,54,43,42,56,52,53,1
1009,Biology,55,58,53,58,68,55,42,72,48,44,31,55,42,48,60,55,65,58,50,1
